SKU,Retail Price,Unit of Measure,Region,Meter,Product Name
Standard_NC24ads_A100_v4,4.777,1 Hour,westus3,NC24ads_A100_v4,NCads A100 v4 Series Windows
Standard_NC16ads_A10_v4,1.1744,1 Hour,westus3,NC16ads_A10_v4 Spot,Virtual Machines NCadsA10v4 Series Windows
Standard_NC8as_T4_v3,0.112,1 Hour,westus3,NC8as T4 v3 Spot,Virtual Machines NCasT4 v3 Series Windows
Standard_NV32as_v4,3.336,1 Hour,westus3,NV32as v4,Virtual Machines NVasv4 Series Windows
Standard_NC8as_T4_v3,0.448,1 Hour,westus3,NC8as T4 v3 Low Priority,Virtual Machines NCasT4 v3 Series Windows
Standard_ND96asr_A100_v4,27.197,1 Hour,westus3,ND96asr A100 v4,Virtual Machines NDasr A100 v4 Series
Standard_ND96amsr_A100_v4,10.692851,1 Hour,westus3,ND96amsr A100 v4 Spot,Virtual Machines NDamsr A100 v4 Series Linux
Standard_NV8as_v4,0.0932,1 Hour,westus3,NV8as v4 Low Priority,Virtual Machines NVasv4 Series
Standard_NC64as_T4_v3,7.296,1 Hour,westus3,NC64asT4 v3,Virtual Machines NCasT4 v3 Series Windows
Standard_NV36adms_A10_v5,1.808,1 Hour,westus3,NV36adms A10 v5 Spot,Virtual Machines NVadsA10v5 Series
Standard_NV36ads_A10_v5,0.64,1 Hour,westus3,NV36ads A10 v5 Low Priority,Virtual Machines NVadsA10v5 Series
Standard_NC48ads_A100_v4,1.469,1 Hour,westus3,NC48ads_A100_v4 Low Priority,NCads A100 v4 Series Linux
Standard_NC12s_v3,2.669,1 Hour,westus3,NC12s v3 Low Priority,Virtual Machines NCSv3 Series Windows
Standard_NC32ads_A10_v4,4.4,1 Hour,westus3,NC32ads_A10_v4,Virtual Machines NCadsA10v4 Series
Standard_NC24ads_A100_v4,0.735,1 Hour,westus3,NC24ads_A100_v4 Low Priority,NCads A100 v4 Series Linux
Standard_NC12s_v3,6.672,1 Hour,westus3,NC12s v3,Virtual Machines NCSv3 Series Windows
Standard_NC96ads_A100_v4,14.692,1 Hour,westus3,NC96ads_A100_v4,NCads A100 v4 Series Linux
Standard_NG32adms_V620,5.694,1 Hour,westus3,NG32admsV620,Virtual Machines NGadsV620v1 Series
Standard_NV18ads_A10_v5,2.428,1 Hour,westus3,NV18ads A10 v5,Virtual Machines NVadsA10v5 Series Windows
Standard_NC24rs_v3,5.827,1 Hour,westus3,NC24rs v3 Low Priority,Virtual Machines NCSv3 Series Windows
Standard_NV36adms_A10_v5,4.52,1 Hour,westus3,NV36adms A10 v5,Virtual Machines NVadsA10v5 Series
Standard_NC8as_T4_v3,1.12,1 Hour,westus3,NC8as T4 v3,Virtual Machines NCasT4 v3 Series Windows
Standard_NV72ads_A10_v5,2.608,1 Hour,westus3,NV72ads A10 v5 Spot,Virtual Machines NVadsA10v5 Series
Standard_NV72ads_A10_v5,3.9328,1 Hour,westus3,NV72ads A10 v5 Spot,Virtual Machines NVadsA10v5 Series Windows
